ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
2.485,4.396,8.499,-0.092,5.153,-0.122
2.512,4.274,8.502,-2.702,8.603,2.313
2.552,4.298,8.648,0.061,2.794,-2.534
2.686,4.46,8.511,-4.015,7.771,3.092
2.533,4.259,8.689,-0.511,1.611,-0.695
2.569,4.204,8.435,-3.321,5.466,0.733
2.602,4.219,8.346,-0.985,2.679,-0.847
2.567,4.446,8.413,-1.992,3.229,0.328
2.514,4.187,8.516,-2.237,3.145,1.26
2.564,4.403,8.349,-1.969,3.427,1.427
2.583,4.345,8.394,-1.389,6.084,0.626
2.677,4.319,8.358,-1.603,5.198,1.26
2.564,4.051,8.521,-2.573,9.145,3.328
2.605,4.238,8.566,-0.176,2.0,-1.802
2.626,4.381,8.502,-2.527,6.008,2.099
2.521,4.231,8.562,-0.847,3.0,-0.137
2.598,4.408,8.423,-2.137,6.038,1.649
2.595,4.226,8.454,-1.405,3.588,0.275
2.514,4.262,8.308,-0.802,4.924,-0.496
2.65,4.245,8.42,-1.901,5.282,0.954
2.488,4.319,8.475,-1.756,4.595,0.153
2.641,4.219,8.485,-0.588,4.786,0.176
2.646,4.173,8.289,-1.893,5.107,0.481
2.581,4.173,8.459,-0.237,5.198,-0.618
2.595,4.111,8.351,-1.061,4.527,-0.977
2.614,4.137,8.485,-3.145,6.511,0.885
2.624,4.187,8.471,-0.351,3.58,-1.336
2.576,4.221,8.478,-2.687,6.008,0.908
2.519,4.247,8.452,-1.557,4.435,0.015
2.588,4.25,8.317,-1.618,6.092,0.473
2.533,4.269,8.435,-1.084,4.015,0.893
2.543,4.161,8.389,-0.405,5.015,-0.924
2.557,4.374,8.452,-1.611,5.015,0.229
2.598,4.07,8.442,-1.595,5.725,1.16
2.567,4.199,8.564,-0.298,4.901,-1.664
2.626,4.266,8.456,-2.504,5.038,1.481
2.591,4.278,8.557,-0.344,4.779,0.466
2.562,4.216,8.313,-1.634,5.832,0.679
2.48,4.243,8.478,-1.237,3.748,0.0
2.449,4.319,8.32,-2.55,7.0,0.405
2.528,4.302,8.464,-0.748,4.115,-0.557
