ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.307,4.003,8.847,-1.405,5.366,0.58
1.319,3.972,8.849,0.206,5.092,0.725
1.324,3.984,8.952,-0.679,4.435,0.229
1.302,4.013,8.849,-1.145,5.107,0.489
1.336,4.046,8.82,-0.405,4.87,0.802
1.31,3.982,8.868,-0.817,4.893,0.481
1.405,4.046,8.823,-0.565,6.137,0.168
1.355,4.144,8.961,-1.641,6.534,0.405
1.334,4.063,8.871,-1.351,4.893,1.649
1.319,4.075,8.811,-2.031,5.878,1.863
1.293,4.07,8.918,-2.046,5.092,2.244
1.204,3.967,8.851,-1.26,4.718,1.267
1.216,3.965,8.758,-2.504,4.763,1.435
1.281,4.003,8.851,-2.366,4.046,1.298
1.329,3.948,8.792,-1.802,5.076,1.099
1.319,3.989,8.796,-1.344,4.649,0.87
1.362,3.96,8.815,-0.473,3.985,0.847
1.35,3.907,8.868,-0.893,5.008,0.634
1.293,4.029,8.811,-2.092,4.656,0.351
1.302,4.003,8.859,-0.939,3.725,0.916
1.286,3.891,8.854,-0.458,4.573,0.359
1.293,4.025,8.878,-1.13,4.618,0.473
1.29,3.929,8.847,-0.756,4.115,0.366
1.283,3.974,8.871,-0.084,4.443,0.221
