ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.039,3.931,8.803,-2.015,3.527,0.939
1.044,3.888,8.875,-0.634,3.664,1.45
1.027,3.903,8.89,-0.038,4.122,1.145
0.967,3.905,9.057,-0.221,4.214,0.511
1.013,3.936,9.0,-2.206,3.733,0.565
1.142,3.893,8.873,-2.634,3.847,0.534
1.07,3.855,8.856,-2.588,5.115,-0.267
1.065,3.953,8.837,-0.664,3.863,0.267
1.149,3.809,8.748,0.183,4.229,0.511
1.018,3.941,8.89,0.916,6.183,-0.443
1.13,4.044,8.981,-2.382,7.092,-0.634
1.106,4.044,9.036,-1.878,5.733,0.962
1.085,3.814,8.959,-0.603,5.0,2.153
1.02,3.869,9.026,-4.046,4.885,1.389
1.104,3.948,8.839,-0.855,3.687,1.321
0.989,3.749,8.772,0.176,4.229,0.809
1.015,3.876,8.806,-0.45,5.305,-0.702
0.97,4.001,8.899,-1.313,5.481,0.473
1.044,4.015,8.933,-3.092,6.58,-0.611
0.962,3.917,9.074,-5.573,5.42,0.504
1.116,3.893,8.961,-1.275,3.74,2.282
1.049,3.876,9.038,-2.023,3.679,1.191
1.07,3.845,8.942,-1.359,3.794,1.382
1.003,3.716,8.866,-0.511,3.061,1.519
1.12,3.843,8.751,-1.275,3.168,1.931
1.13,3.723,9.1,2.786,3.015,1.809
1.027,3.9,9.172,-1.137,3.763,-0.046
1.049,3.936,9.124,-1.183,3.573,0.626
1.099,3.824,8.787,-3.687,2.084,0.237
1.185,3.874,8.768,-1.924,4.588,0.763
1.116,3.778,8.94,-1.87,4.412,0.885
1.207,3.694,8.803,-1.443,3.282,0.031
1.211,3.958,8.763,0.313,6.237,-0.115
1.077,3.838,8.99,0.412,4.656,1.183
1.087,3.852,8.976,-1.198,4.611,0.511
1.065,3.843,9.009,-0.641,5.435,0.656
1.097,3.733,9.062,-2.153,5.16,-0.275
1.154,3.953,8.871,-0.817,5.511,-0.618
1.144,3.867,8.803,0.244,4.87,0.42
1.073,3.941,8.94,-0.008,6.046,0.359
1.085,3.838,9.009,-0.878,5.321,0.298
1.149,3.907,9.091,0.519,4.756,0.74
1.156,3.843,9.031,-1.252,4.985,0.588
1.087,3.929,9.036,-1.947,3.931,0.183
1.128,3.984,8.808,-2.008,3.763,1.13
1.13,3.852,8.916,-1.374,4.069,0.802
1.089,3.836,8.899,-1.053,3.969,0.664
1.137,3.95,8.916,-2.206,4.733,0.328
1.068,3.934,9.048,-1.817,3.809,0.702
1.14,3.881,8.902,-3.092,4.29,0.168
1.12,3.847,9.069,-3.588,5.672,-0.802
1.226,3.843,8.94,-2.206,3.229,-0.321
1.221,3.989,8.842,-1.656,3.214,1.031
1.279,3.764,8.744,-1.832,4.832,1.534
1.118,3.723,8.751,-1.069,6.26,0.069
1.075,3.804,8.866,1.42,5.473,-0.397
1.128,3.919,8.997,1.023,5.588,-0.267
1.132,3.867,8.99,0.618,5.237,0.527
1.111,3.998,8.988,-1.656,5.198,0.26
1.111,3.907,9.048,-1.473,4.664,0.771
1.219,3.833,8.847,-1.611,3.763,0.557
1.176,3.929,8.818,-1.038,5.557,0.099
1.13,3.929,8.787,-1.275,4.969,0.885
1.061,3.972,8.851,-1.038,5.511,1.252
1.022,3.864,9.009,-0.214,4.313,1.191
1.132,3.867,9.019,-0.687,4.504,0.42
1.13,4.003,9.043,-1.84,4.374,-0.092
1.178,3.958,9.041,-0.504,2.695,1.298
1.12,4.013,8.837,-2.366,4.168,-0.099
1.013,3.833,9.062,-2.55,3.061,1.756
1.14,3.692,8.818,-2.595,2.901,-0.397
1.286,3.943,8.787,-2.359,4.55,-0.008
1.202,3.898,8.885,-0.328,3.924,0.321
1.214,3.962,8.871,-0.214,4.382,0.42
1.235,3.931,8.806,-1.519,5.038,0.565
1.209,3.929,8.976,0.916,4.901,1.084
1.192,3.85,8.887,-0.489,4.931,0.305
1.178,3.888,8.873,-1.008,6.305,0.832
1.077,3.919,8.966,-0.725,5.641,0.275
1.075,3.905,8.966,-1.015,5.397,-0.084
1.142,3.938,8.892,-1.618,5.649,-0.244
1.132,3.943,8.926,0.046,4.366,0.183
1.118,3.881,8.921,-1.954,4.412,0.382
1.192,3.979,8.736,-1.053,5.237,0.084
1.094,3.833,8.971,-0.74,5.382,0.779
1.092,4.027,8.973,-1.595,4.969,0.252
1.137,3.905,9.021,-0.641,3.618,1.122
1.099,3.838,8.947,-1.832,4.351,0.74
1.128,3.962,8.784,-1.305,4.229,-0.115
1.195,3.905,8.839,-1.679,4.672,0.336
1.25,3.91,8.849,-2.13,5.641,0.473
1.168,4.022,8.899,0.053,5.336,1.115
1.111,3.903,9.012,-0.244,5.115,1.275
1.137,3.84,8.93,-2.069,5.0,0.802
1.085,3.97,8.995,-0.321,4.282,1.489
1.097,3.845,9.014,-1.901,4.26,1.183
1.125,3.955,8.928,-3.107,4.649,0.466
1.166,3.819,8.94,-1.863,3.023,1.481
1.219,3.836,8.768,-0.985,5.435,0.282
1.116,3.898,8.966,-1.527,5.0,0.74
1.211,3.874,8.928,-0.374,3.908,0.947
1.159,3.859,8.832,-0.397,5.038,0.794
1.118,3.816,8.954,-1.008,4.55,0.168
1.173,4.02,8.887,-1.641,4.786,-0.321
1.161,3.915,8.904,0.626,3.542,1.313
1.166,3.836,8.871,-1.313,4.122,0.153
1.226,3.931,8.899,-1.275,4.878,0.672
1.185,3.871,8.859,-0.779,4.748,0.969
1.125,3.941,9.007,-1.13,4.779,0.939
1.195,3.955,9.005,-1.573,4.885,0.534
1.166,3.943,8.875,0.305,3.87,0.931
1.063,3.788,8.906,0.679,4.427,0.695
1.207,3.783,8.768,-1.389,5.374,-0.374
1.125,3.967,8.966,-0.809,5.931,-0.282
1.166,3.922,8.906,-0.878,5.13,0.275
1.223,3.943,8.813,-0.076,5.115,1.038
1.255,3.905,8.854,-0.55,7.809,-0.756
0.948,4.096,9.105,-1.366,7.115,-0.687
0.891,4.046,9.041,-0.954,3.534,1.252
1.03,3.713,8.959,-2.084,2.855,-0.84
1.02,3.668,9.041,1.206,-0.244,-1.244
1.061,3.57,8.914,3.069,-1.115,-3.45
1.128,4.458,8.942,4.809,-5.489,-10.511
1.346,4.446,8.705,1.397,-3.305,-1.412
1.52,4.195,8.449,-3.679,2.053,0.412
1.41,4.12,8.875,-7.069,3.328,2.763
1.516,4.068,8.684,-4.916,2.855,2.267
1.549,3.816,8.447,-0.344,2.725,3.947
1.451,3.986,8.559,1.336,9.382,2.053
1.109,4.104,9.05,0.145,8.489,2.573
1.12,4.025,9.041,1.351,6.878,2.466
1.101,3.79,9.088,0.847,6.0,0.878
1.214,3.912,9.002,-3.198,4.733,-1.542
1.369,4.13,8.77,-1.786,4.74,-0.321
1.396,4.094,8.83,-1.252,5.252,0.481
1.381,4.144,8.782,-1.069,5.702,1.618
1.279,4.01,8.768,-1.176,5.031,2.908
1.202,3.974,8.734,0.641,6.221,2.45
1.154,4.005,8.933,-1.435,6.618,1.092
1.116,4.01,9.029,-2.176,4.863,1.229
1.257,3.946,8.818,-0.626,4.053,0.901
1.207,4.025,8.904,-2.427,4.405,0.206
1.295,4.073,8.756,-2.649,3.924,0.13
1.302,4.039,8.789,-0.389,4.084,1.725
1.235,3.893,8.818,-0.588,3.809,0.908
1.257,3.979,8.863,-2.481,5.061,0.389
